;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Ncf: Number of failed test cases that cover the rule
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Nus: Number of successful test cases that cover the rule
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Ncs: Number of successful test cases that cover the rule
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Nus: number of successful test cases that do not cover the rule
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Nc: total number of test cases that cover the rule
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Nu:total number of test cases that do not cover the rule
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Ns: total number of successful test cases
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Nf: total number of failed test cases

OCL25;SrcProxy.allInstances()->select(p|not (p.busy.oclIsUndefined() and p.noAnswer.oclIsUndefined() and p.redirection.oclIsUndefined() and p.failure.oclIsUndefined() and p.default.oclIsUndefined()))->size() = TrgVariable.allInstances()->size()

Rules;TC1;TC2;TC3;TC4;TC5;TC6;TC7;TC8;TC9;TC10;TC11;TC12;TC13;TC14;TC15;TC16;TC17;TC18;TC19;TC20;TC21;TC22;TC23;TC24;TC25;TC26;TC27;TC28;TC29;TC30;TC31;TC32;TC33;TC34;TC35;TC36;TC37;TC38;TC39;TC40;TC41;TC42;TC43;TC44;TC45;TC46;TC47;TC48;TC49;TC50;TC51;TC52;TC53;TC54;TC55;TC56;TC57;TC58;TC59;TC60;TC61;TC62;TC63;TC64;TC65;TC66;TC67;TC68;TC69;TC70;TC71;TC72;TC73;TC74;TC75;TC76;TC77;TC78;TC79;TC80;TC81;TC82;TC83;TC84;TC85;TC86;TC87;TC88;TC89;TC90;TC91;TC92;TC93;TC94;TC95;TC96;TC97;TC98;TC99;TC100;Ncf;Nuf;Ncs;Nus;Nc;Nu;Ns;Nf;Cohen;Braun-Banquet;Simple Matching;Kulcynski2;Barinel;Arithmetic Mean;Mountford;Zoltar;Ochiai;Phi;Op2;Russel Rao;Baroni-Urbani & Buser;Pierce;Ochiai2;Rogers & Tanimoto;DStar;Tarantula;
Redirection2SelectCase;;;;;;;;;;X;;;;;;;;;X;X;;;;X;;;;;;;;;;;;X;;;;;;;;;;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;X;;;;;;;;;7.0;15.0;0.0;78.0;7.0;93.0;78.0;22.0;0.4212962962962963;0.3181818181818182;0.85;0.6590909090909091;1.0;0.46134347275031684;0.13333333333333333;0.3181818181818182;0.5640760748177662;0.5165870401858496;7.0;0.07;0.6693605908639084;0.04294478527607362;0.5165381689543765;0.7391304347826086;3.2666666666666666;1.0;
SubCall2Return;;;X;;;;;X;;;X;X;;X;;;X;;;;X;X;X;;X;;;;X;;;X;;;;;;;;;;X;;X;;;;X;;X;;X;X;X;X;;;X;;;X;;X;X;X;X;;;;;;;X;;;;X;;X;;;;;X;X;X;;;X;X;;;;;X;X;;X;X;X;0.0;22.0;39.0;39.0;39.0;61.0;78.0;22.0;-0.3914233576642336;0.0;0.39;0.0;0.0;-0.41904761904761906;0.0;0.0;0.0;-0.4246502900652006;-0.4936708860759494;0.0;0.0;0.26506024096385544;0.0;0.2422360248447205;0.0;0.0;
Busy2SelectCase;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;X;;;;X;;;;;;;;;;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3.0;19.0;0.0;78.0;3.0;97.0;78.0;22.0;0.19763513513513514;0.13636363636363635;0.81;0.5681818181818181;1.0;0.23318385650224216;0.10526315789473684;0.13636363636363635;0.3692744729379982;0.33113929601388836;3.0;0.03;0.490576449099155;0.018867924528301886;0.33109244228813844;0.680672268907563;0.47368421052631576;1.0;
SubAction2Function;;;;;;X;;;;;;;;;;X;;;;;;;X;;;X;;;;X;X;;;;;;X;;;;;X;;;;;;X;X;;;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.0;22.0;11.0;67.0;11.0;89.0;78.0;22.0;-0.171875;0.0;0.67;0.0;0.0;-0.17959183673469387;0.0;0.0;0.0;-0.18670905391899717;-0.13924050632911392;0.0;0.0;0.06567164179104477;0.0;0.5037593984962406;0.0;0.0;
Redirect2Return;;;X;;;X;;X;X;;;X;;X;;;;X;;;;;;;X;;X;;X;X;;;;;;;;;X;;;X;;;;;;;;;;X;;;X;;;;X;;X;;;;;;;X;;;;X;X;X;X;;;X;;;X;;X;X;X;;;;X;;;;;;X;;;X;X;X;0.0;22.0;32.0;46.0;32.0;68.0;78.0;22.0;-0.3527054108216433;0.0;0.46;0.0;0.0;-0.3617677286742035;0.0;0.0;0.0;-0.36432130747865443;-0.4050632911392405;0.0;0.0;0.20137299771167047;0.0;0.2987012987012987;0.0;0.0;
StringSwitch2SelectStat;;;;X;X;;;;X;;;X;;;;X;;;;;;;;;X;;;;;X;;;;X;X;;X;X;X;;;;;;;;;;;;;;X;;;;X;;;;;;;;X;;X;X;X;;X;X;X;;;;;X;;;;;;;;;;;;;;;;;;X;;;X;;0.0;22.0;24.0;54.0;24.0;76.0;78.0;22.0;-0.2979683972911964;0.0;0.54;0.0;0.0;-0.2983050847457627;0.0;0.0;0.0;-0.2984440079997103;-0.3037974683544304;0.0;0.0;0.1437908496732026;0.0;0.3698630136986301;0.0;0.0;
NoAnswer2SelectCase;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;X;;;;;;;X;;;;;;X;X;;;X;;;;6.0;16.0;0.0;78.0;6.0;94.0;78.0;22.0;0.36908517350157727;0.2727272727272727;0.84;0.6363636363636364;1.0;0.4105263157894737;0.125;0.2727272727272727;0.5222329678670935;0.4757158913514795;6.0;0.06;0.6333076527839357;0.037037037037037035;0.47566754036687425;0.7241379310344828;2.25;1.0;
CPL2Program;;;;;;X;;;;;;;X;;;X;X;;;;;;X;;;X;;;;X;X;;X;;;;X;X;X;;;X;X;;X;;;X;X;X;;X;;;X;;;;X;;;;;X;X;;X;X;;;;;X;;X;;;;X;;;;X;X;;;;;;X;X;;;;X;;;;;;0.0;22.0;33.0;45.0;33.0;67.0;78.0;22.0;-0.358695652173913;0.0;0.45;0.0;0.0;-0.3697478991596639;0.0;0.0;0.0;-0.37272078116443347;-0.4177215189873418;0.0;0.0;0.20952380952380953;0.0;0.2903225806451613;0.0;0.0;
Outgoing2Method;;;;;;X;;;;;;;;;;;;;;;;;;;;;;;;;X;;X;;;;;X;;;;;;;;;;;;;;;;;;;;;;;;;;;X;;;X;;;;;;;;;;;;;;;X;;;;;;;;;;;;;;;;;;0.0;22.0;7.0;71.0;7.0;93.0;78.0;22.0;-0.11882716049382716;0.0;0.71;0.0;0.0;-0.13012251795521756;0.0;0.0;0.0;-0.14570403697549603;-0.08860759493670886;0.0;0.0;0.04252968793151063;0.0;0.5503875968992248;0.0;0.0;
Proxy2Select;X;;;;;;;;;X;;;;;X;;;;X;X;;;;X;;;;X;;;;;;;;X;;;;;;;;;;X;X;;;;X;;;;;X;;;;X;;;;;;;;;;X;;;;;;;;;;X;;X;;;;;X;X;;;;X;X;X;;;X;;;;22.0;0.0;0.0;78.0;22.0;78.0;78.0;22.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;22.0;0.22;1.0;0.0;0.9999417283375095;1.0;1.0;1.0;
Failure2ErrorResponse;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.0;22.0;0.0;78.0;0.0;100.0;78.0;22.0;0.0;0.0;0.78;0.0;NaN;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.639344262295082;0.0;0.0;
AddressSwitch2SelectStat;;;;X;;;;;X;;;X;X;;;;;X;;;;;;;;X;;;;X;X;;;X;;;;;;;;;;;;;;;X;X;;;;;;;;;;;X;;;;;;X;X;;;;;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.0;22.0;15.0;63.0;15.0;85.0;78.0;22.0;-0.21710526315789475;0.0;0.63;0.0;0.0;-0.22066198595787362;0.0;0.0;0.0;-0.2231003264365801;-0.189873417721519;0.0;0.0;0.08878127522195318;0.0;0.45985401459854014;0.0;0.0;
Proxy2Return;;;;X;;;;;;;;;;;;;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.0;22.0;2.0;76.0;2.0;98.0;78.0;22.0;-0.03806228373702422;0.0;0.76;0.0;0.0;-0.04602510460251046;0.0;0.0;0.0;-0.0758692863633992;-0.02531645569620253;0.0;0.0;0.012585812356979404;0.0;0.6129032258064516;0.0;0.0;
Default2SelectDefault;X;;;;;;;;;;;;;;X;;;;;;;;;;;;;X;;;;;;;;;;;;;;;;;;;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;X;;;;;;X;;;;;;;;;;;;;6.0;16.0;0.0;78.0;6.0;94.0;78.0;22.0;0.36908517350157727;0.2727272727272727;0.84;0.6363636363636364;1.0;0.4105263157894737;0.125;0.2727272727272727;0.5222329678670935;0.4757158913514795;6.0;0.06;0.6333076527839357;0.037037037037037035;0.47566754036687425;0.7241379310344828;2.25;1.0;
